"REPORT_DAT","num_crime","Crime_rate"
"2017/04/17",93,646.99263
"2017/04/18",79,549.59589
"2017/04/19",99,688.73409
"2017/04/20",92,640.03572
"2017/04/21",81,563.50971
"2017/04/22",87,605.25117
"2017/04/23",83,577.42353
"2017/04/24",110,765.2601
"2017/04/25",76,528.72516
"2017/04/26",102,709.60482
"2017/04/27",92,640.03572
"2017/04/28",101,702.64791
"2017/04/29",115,800.04465
"2017/04/30",99,688.73409
"2017/05/01",83,577.42353
"2017/05/02",81,563.50971
"2017/05/03",104,723.51864
"2017/05/04",83,577.42353
"2017/05/05",94,653.94954
"2017/05/06",117,813.95847
"2017/05/07",96,667.86336
"2017/05/08",108,751.34628
"2017/05/09",106,737.43246
"2017/05/10",102,709.60482
"2017/05/11",103,716.56173
"2017/05/12",92,640.03572
"2017/05/13",88,612.20808
"2017/05/14",68,473.06988
"2017/05/15",94,653.94954
"2017/05/16",85,591.33735
"2017/05/17",118,820.91538
"2017/05/18",80,556.5528
"2017/05/19",95,660.90645
"2017/05/20",95,660.90645
"2017/05/21",107,744.38937
"2017/05/22",95,660.90645
"2017/05/23",90,626.1219
"2017/05/24",106,737.43246
"2017/05/25",112,779.17392
"2017/05/26",98,681.77718
"2017/05/27",119,827.87229
"2017/05/28",114,793.08774
"2017/05/29",118,820.91538
"2017/05/30",105,730.47555
"2017/05/31",112,779.17392
"2017/06/01",93,646.99263
"2017/06/02",77,535.68207
"2017/06/03",95,660.90645
"2017/06/04",98,681.77718
"2017/06/05",92,640.03572
"2017/06/06",102,709.60482
"2017/06/07",102,709.60482
"2017/06/08",95,660.90645
"2017/06/09",96,667.86336
"2017/06/10",86,598.29426
"2017/06/11",78,542.63898
"2017/06/12",100,695.691
"2017/06/13",92,640.03572
"2017/06/14",87,605.25117
"2017/06/15",96,667.86336
"2017/06/16",103,716.56173
"2017/06/17",97,674.82027
"2017/06/18",94,653.94954
"2017/06/19",89,619.16499
"2017/06/20",101,702.64791
"2017/06/21",88,612.20808
"2017/06/22",116,807.00156
"2017/06/23",129,897.44139
"2017/06/24",109,758.30319
"2017/06/25",89,619.16499
"2017/06/26",93,646.99263
"2017/06/27",94,653.94954
"2017/06/28",100,695.691
"2017/06/29",106,737.43246
"2017/06/30",73,507.85443
"2017/07/01",84,584.38044
"2017/07/02",83,577.42353
"2017/07/03",114,793.08774
"2017/07/04",93,646.99263
"2017/07/05",89,619.16499
"2017/07/06",94,653.94954
"2017/07/07",90,626.1219
"2017/07/08",99,688.73409
"2017/07/09",96,667.86336
"2017/07/10",90,626.1219
"2017/07/11",104,723.51864
"2017/07/12",105,730.47555
"2017/07/13",102,709.60482
"2017/07/14",107,744.38937
"2017/07/15",95,660.90645
"2017/07/16",85,591.33735
"2017/07/17",93,646.99263
"2017/07/18",92,640.03572
"2017/07/19",98,681.77718
"2017/07/20",81,563.50971
"2017/07/21",93,646.99263
"2017/07/22",82,570.46662
"2017/07/23",87,605.25117
"2017/07/24",93,646.99263
"2017/07/25",76,528.72516
"2017/07/26",88,612.20808
"2017/07/27",87,605.25117
"2017/07/28",87,605.25117
"2017/07/29",72,500.89752
"2017/07/30",112,779.17392
"2017/07/31",111,772.21701
"2017/08/01",104,723.51864
"2017/08/02",95,660.90645
"2017/08/03",73,507.85443
"2017/08/04",87,605.25117
"2017/08/05",90,626.1219
"2017/08/06",89,619.16499
"2017/08/07",102,709.60482
"2017/08/08",99,688.73409
"2017/08/09",74,514.81134
"2017/08/10",88,612.20808
"2017/08/11",75,521.76825
"2017/08/12",95,660.90645
"2017/08/13",84,584.38044
"2017/08/14",76,528.72516
"2017/08/15",100,695.691
"2017/08/16",91,633.07881
"2017/08/17",101,702.64791
"2017/08/18",84,584.38044
"2017/08/19",97,674.82027
"2017/08/20",98,681.77718
"2017/08/21",85,591.33735
"2017/08/22",97,674.82027
"2017/08/23",83,577.42353
"2017/08/24",127,883.52757
"2017/08/25",92,640.03572
"2017/08/26",109,758.30319
"2017/08/27",113,786.13083
"2017/08/28",78,542.63898
"2017/08/29",83,577.42353
"2017/08/30",92,640.03572
"2017/08/31",80,556.5528
"2017/09/01",90,626.1219
"2017/09/02",83,577.42353
"2017/09/03",69,480.02679
"2017/09/04",95,660.90645
"2017/09/05",74,514.81134
"2017/09/06",86,598.29426
"2017/09/07",88,612.20808
"2017/09/08",88,612.20808
"2017/09/09",99,688.73409
"2017/09/10",85,591.33735
"2017/09/11",80,556.5528
"2017/09/12",103,716.56173
"2017/09/13",92,640.03572
"2017/09/14",98,681.77718
"2017/09/15",93,646.99263
"2017/09/16",82,570.46662
"2017/09/17",109,758.30319
"2017/09/18",120,834.8292
"2017/09/19",93,646.99263
"2017/09/20",96,667.86336
"2017/09/21",82,570.46662
"2017/09/22",84,584.38044
"2017/09/23",110,765.2601
"2017/09/24",108,751.34628
"2017/09/25",112,779.17392
"2017/09/26",126,876.57066
"2017/09/27",77,535.68207
"2017/09/28",102,709.60482
"2017/09/29",87,605.25117
"2017/09/30",102,709.60482
"2017/10/01",112,779.17392
"2017/10/02",86,598.29426
"2017/10/03",74,514.81134
"2017/10/04",79,549.59589
"2017/10/05",109,758.30319
"2017/10/06",75,521.76825
"2017/10/07",86,598.29426
"2017/10/08",98,681.77718
"2017/10/09",86,598.29426
"2017/10/10",95,660.90645
"2017/10/11",86,598.29426
"2017/10/12",102,709.60482
"2017/10/13",97,674.82027
"2017/10/14",98,681.77718
"2017/10/15",113,786.13083
"2017/10/16",97,674.82027
"2017/10/17",112,779.17392
"2017/10/18",95,660.90645
"2017/10/19",84,584.38044
"2017/10/20",87,605.25117
"2017/10/21",84,584.38044
"2017/10/22",113,786.13083
"2017/10/23",121,841.78611
"2017/10/24",104,723.51864
"2017/10/25",115,800.04465
"2017/10/26",87,605.25117
"2017/10/27",87,605.25117
"2017/10/28",91,633.07881
"2017/10/29",96,667.86336
"2017/10/30",90,626.1219
"2017/10/31",97,674.82027
"2017/11/01",119,827.87229
"2017/11/02",80,556.5528
"2017/11/03",98,681.77718
"2017/11/04",70,486.9837
"2017/11/05",69,480.02679
"2017/11/06",71,493.94061
"2017/11/07",81,563.50971
"2017/11/08",60,417.4146
"2017/11/09",87,605.25117
"2017/11/10",110,765.2601
"2017/11/11",82,570.46662
"2017/11/12",77,535.68207
"2017/11/13",82,570.46662
"2017/11/14",99,688.73409
"2017/11/15",88,612.20808
"2017/11/16",91,633.07881
"2017/11/17",82,570.46662
"2017/11/18",94,653.94954
"2017/11/19",102,709.60482
"2017/11/20",86,598.29426
"2017/11/21",97,674.82027
"2017/11/22",103,716.56173
"2017/11/23",61,424.37151
"2017/11/24",66,459.15606
"2017/11/25",112,779.17392
"2017/11/26",110,765.2601
"2017/11/27",103,716.56173
"2017/11/28",97,674.82027
"2017/11/29",109,758.30319
"2017/11/30",82,570.46662
"2017/12/01",89,619.16499
"2017/12/02",102,709.60482
"2017/12/03",101,702.64791
"2017/12/04",84,584.38044
"2017/12/05",83,577.42353
"2017/12/06",98,681.77718
"2017/12/07",81,563.50971
"2017/12/08",98,681.77718
"2017/12/09",92,640.03572
"2017/12/10",75,521.76825
"2017/12/11",85,591.33735
"2017/12/12",101,702.64791
"2017/12/13",90,626.1219
"2017/12/14",92,640.03572
"2017/12/15",101,702.64791
"2017/12/16",97,674.82027
"2017/12/17",69,480.02679
"2017/12/18",85,591.33735
"2017/12/19",96,667.86336
"2017/12/20",102,709.60482
"2017/12/21",81,563.50971
"2017/12/22",88,612.20808
"2017/12/23",70,486.9837
"2017/12/24",76,528.72516
"2017/12/25",45,313.06095
"2017/12/26",48,333.93168
"2017/12/27",80,556.5528
"2017/12/28",67,466.11297
"2017/12/29",85,591.33735
"2017/12/30",71,493.94061
"2017/12/31",52,361.75932
"2018/01/01",36,252.8838
"2018/01/02",61,428.49755
"2018/01/03",80,561.964
"2018/01/04",58,407.4239
"2018/01/05",71,498.74305
"2018/01/06",55,386.35025
"2018/01/07",58,407.4239
"2018/01/08",56,393.3748
"2018/01/09",95,667.33225
"2018/01/10",102,716.5041
"2018/01/11",96,674.3568
"2018/01/12",92,646.2586
"2018/01/13",91,639.23405
"2018/01/14",76,533.8658
"2018/01/15",67,470.64485
"2018/01/16",83,583.03765
"2018/01/17",84,590.0622
"2018/01/18",78,547.9149
"2018/01/19",98,688.4059
"2018/01/20",107,751.62685
"2018/01/21",103,723.52865
"2018/01/22",95,667.33225
"2018/01/23",95,667.33225
"2018/01/24",85,597.08675
